2025-01-17_19-00-32 | Marina | addition_3ch_hor | 0 | 6+0+0=6 | 6
2025-01-17_19-00-38 | Marina | addition_3ch_hor | 1 | 2+3+9=14 | 14
2025-01-17_19-00-46 | Marina | addition_3ch_hor | 2 | 8+4+6=18 | 18
2025-01-17_19-01-16 | Marina | addition_3ch_hor | 3 | 9+1+8=18 | 18
2025-01-17_19-01-26 | Marina | addition_3ch_hor | 4 | 2+3+6=11 | 11
2025-01-17_19-01-40 | Marina | addition_2ch_ver | 0 | 93+83=176 | 176
2025-01-17_19-01-51 | Marina | addition_2ch_ver | 1 | 48+38=86 | 86
2025-01-17_19-01-57 | Marina | addition_2ch_ver | 2 | 12+44=56 | 56
2025-01-17_19-02-08 | Marina | addition_2ch_ver | 3 | 47+14=61 | 61
2025-01-17_19-02-18 | Marina | addition_2ch_ver | 4 | 35+35=70 | 70
2025-01-17_19-52-51 | Marina | addition_1p2p3 | 159 |  | 20
2025-01-17_19-53-00 | Marina | addition_1p2p3 | 139 |  | 24
2025-01-17_19-53-12 | Marina | addition_1p2p3 | 50 |  | 13
2025-01-17_19-53-32 | Diso | addition_1p2p3 | 52 |  | 16
2025-01-17_19-53-47 | Marina | addition_1p2p3 | 52 |  | 15
